Origin_airport,Destination_airport,Origin_city,Destination_city,Passengers,Seats,Flights,Distance,Fly_date,Origin_population,Destination_population,Org_airport_lat,Org_airport_long,Dest_airport_lat,Dest_airport_long
MSP,RNO,Minneapolis MN,Reno NV,2249,4650,31,1406,10/1/1998,2830434,315959,44.88199997,-93.22180176,39.49909973,-119.7679977
MSP,RNO,Minneapolis MN,Reno NV,2976,4350,29,1406,6/1/1998,2830434,315959,44.88199997,-93.22180176,39.49909973,-119.7679977
LAX,RNO,Los Angeles CA,Reno NV,6765,11782,86,390,1/1/1998,23895178,315959,33.94250107,-118.4079971,39.49909973,-119.7679977
MSP,RNO,Minneapolis MN,Reno NV,3781,4619,31,1406,10/1/1998,2830434,315959,44.88199997,-93.22180176,39.49909973,-119.7679977
MSP,RNO,Minneapolis MN,Reno NV,133,190,1,1406,4/1/1998,2830434,315959,44.88199997,-93.22180176,39.49909973,-119.7679977
LAX,RNO,Los Angeles CA,Reno NV,7944,12741,93,390,7/1/1998,23895178,315959,33.94250107,-118.4079971,39.49909973,-119.7679977
MSP,RNO,Minneapolis MN,Reno NV,2639,3874,26,1406,11/1/1998,2830434,315959,44.88199997,-93.22180176,39.49909973,-119.7679977
IAD,RNO,Washington DC,Reno NV,188,206,1,2249,12/1/1998,9079986,315959,38.94449997,-77.45580292,39.49909973,-119.7679977
MCI,RNO,Kansas City MO,Reno NV,34,137,1,1336,2/1/1998,1795891,315959,39.2976,-94.713898,39.49909973,-119.7679977
MCI,RNO,Kansas City MO,Reno NV,130,142,1,1336,12/1/1998,1795891,315959,39.2976,-94.713898,39.49909973,-119.7679977
MCI,RNO,Kansas City MO,Reno NV,132,140,1,1336,7/1/1998,1795891,315959,39.2976,-94.713898,39.49909973,-119.7679977
ORD,RNO,Chicago IL,Reno NV,5156,5616,48,1671,7/1/1998,17529224,315959,41.97859955,-87.90480042,39.49909973,-119.7679977
ATL,RNO,Atlanta GA,Reno NV,1827,3552,24,1993,3/1/1998,3872031,315959,33.63669968,-84.42810059,39.49909973,-119.7679977
ATL,RNO,Atlanta GA,Reno NV,382,585,5,1993,3/1/1998,3872031,315959,33.63669968,-84.42810059,39.49909973,-119.7679977
ATL,RNO,Atlanta GA,Reno NV,74,140,1,1993,3/1/1998,3872031,315959,33.63669968,-84.42810059,39.49909973,-119.7679977
ORD,RNO,Chicago IL,Reno NV,568,702,6,1671,11/1/1998,17529224,315959,41.97859955,-87.90480042,39.49909973,-119.7679977
ORD,RNO,Chicago IL,Reno NV,6434,11200,78,1671,11/1/1998,17529224,315959,41.97859955,-87.90480042,39.49909973,-119.7679977
ORD,RNO,Chicago IL,Reno NV,7050,10920,78,1671,10/1/1998,17529224,315959,41.97859955,-87.90480042,39.49909973,-119.7679977
ORD,RNO,Chicago IL,Reno NV,905,1170,10,1671,10/1/1998,17529224,315959,41.97859955,-87.90480042,39.49909973,-119.7679977
ATL,RNO,Atlanta GA,Reno NV,108,117,1,1993,6/1/1998,3872031,315959,33.63669968,-84.42810059,39.49909973,-119.7679977
ATL,RNO,Atlanta GA,Reno NV,266,280,2,1993,6/1/1998,3872031,315959,33.63669968,-84.42810059,39.49909973,-119.7679977
ATL,RNO,Atlanta GA,Reno NV,210,296,2,1993,2/1/1998,3872031,315959,33.63669968,-84.42810059,39.49909973,-119.7679977
ORD,RNO,Chicago IL,Reno NV,4937,7140,51,1671,9/1/1998,17529224,315959,41.97859955,-87.90480042,39.49909973,-119.7679977
ORD,RNO,Chicago IL,Reno NV,3561,4563,39,1671,9/1/1998,17529224,315959,41.97859955,-87.90480042,39.49909973,-119.7679977
ORD,RNO,Chicago IL,Reno NV,1924,2960,20,1671,9/1/1998,17529224,315959,41.97859955,-87.90480042,39.49909973,-119.7679977
ATL,RNO,Atlanta GA,Reno NV,3240,3996,27,1993,6/1/1998,3872031,315959,33.63669968,-84.42810059,39.49909973,-119.7679977
ORD,RNO,Chicago IL,Reno NV,4490,6808,46,1671,8/1/1998,17529224,315959,41.97859955,-87.90480042,39.49909973,-119.7679977
ORD,RNO,Chicago IL,Reno NV,4550,5382,46,1671,8/1/1998,17529224,315959,41.97859955,-87.90480042,39.49909973,-119.7679977
ORD,RNO,Chicago IL,Reno NV,2243,3080,22,1671,8/1/1998,17529224,315959,41.97859955,-87.90480042,39.49909973,-119.7679977
ORD,RNO,Chicago IL,Reno NV,4804,6556,44,1671,7/1/1998,17529224,315959,41.97859955,-87.90480042,39.49909973,-119.7679977
ORD,RNO,Chicago IL,Reno NV,2817,3360,24,1671,7/1/1998,17529224,315959,41.97859955,-87.90480042,39.49909973,-119.7679977
ATL,RNO,Atlanta GA,Reno NV,288,585,5,1993,5/1/1998,3872031,315959,33.63669968,-84.42810059,39.49909973,-119.7679977
